Name,MILLICOM INTL CELU. 2003 10% 01/12/13 144A S - GROSSPRICE
Code,37413V(GP)
8/10/2004,103.6666
11/10/2004,103.6944
12/10/2004,103.7222
13/10/2004,103.3055
14/10/2004,103.3333
15/10/2004,103.3611
18/10/2004,104.8889
19/10/2004,104.9166
20/10/2004,104.5
21/10/2004,104.5278
22/10/2004,104.5555
25/10/2004,105.0833
26/10/2004,105.1111
27/10/2004,105.1666
28/10/2004,105.1944
29/10/2004,105.2222
1/11/2004,105.25
2/11/2004,105.2778
3/11/2004,107.8611
4/11/2004,107.8889
5/11/2004,107.9166
8/11/2004,107.9444
9/11/2004,107.9722
10/11/2004,107.3055
11/11/2004,107.3333
12/11/2004,107.3611
15/11/2004,107.3889
16/11/2004,107.4166
17/11/2004,107.5
18/11/2004,107.5278
19/11/2004,107.5555
22/11/2004,107.5833
23/11/2004,107.6111
24/11/2004,107.6944
25/11/2004,107.7222
26/11/2004,102.75
29/11/2004,102.7778
30/11/2004,103.3055
1/12/2004,103.3889
2/12/2004,103.4166
3/12/2004,103.4444
6/12/2004,103.4722
7/12/2004,103.5
8/12/2004,103.5833
9/12/2004,104.4861
10/12/2004,104.5139
13/12/2004,106.4166
14/12/2004,106.4444
15/12/2004,106.5278
16/12/2004,105.1805
17/12/2004,105.2083
20/12/2004,105.2361
21/12/2004,105.2639
22/12/2004,105.3472
23/12/2004,105.375
24/12/2004,105.4028
27/12/2004,105.4305
28/12/2004,105.4305
29/12/2004,105.5139
30/12/2004,105.5416
31/12/2004,105.5694
3/01/2005,105.5972
4/01/2005,106.25
5/01/2005,106.3333
6/01/2005,106.3611
7/01/2005,106.3889
10/01/2005,106.1666
11/01/2005,106.1944
12/01/2005,106.2778
13/01/2005,106.3055
14/01/2005,106.3333
17/01/2005,106.3611
18/01/2005,106.3889
19/01/2005,105.7222
20/01/2005,105.75
21/01/2005,105.7778
24/01/2005,105.8055
25/01/2005,105.8333
26/01/2005,105.8889
27/01/2005,105.9166
28/01/2005,105.9444
31/01/2005,105.9722
1/02/2005,106
2/02/2005,106.3333
3/02/2005,106.3611
4/02/2005,106.3889
7/02/2005,106.4166
8/02/2005,107.5694
9/02/2005,107.6528
10/02/2005,107.6805
11/02/2005,107.7083
14/02/2005,107.7361
15/02/2005,107.7639
16/02/2005,107.8472
17/02/2005,108.25
18/02/2005,108.2778
21/02/2005,108.3055
22/02/2005,108.3333
23/02/2005,108.4166
24/02/2005,108.5
25/02/2005,108.5278
28/02/2005,108.5555
1/03/2005,108.5833
2/03/2005,108.7916
3/03/2005,108.8194
