Name,BLOUNT INCO. 2004 8 7/8% 01/08/12 S - GROSS PRICE
Code,46389R(GP)
24/06/2005,110.3986
27/06/2005,109.6733
28/06/2005,110.1979
29/06/2005,110.7719
30/06/2005,110.7965
1/07/2005,110.8212
4/07/2005,110.8458
5/07/2005,110.8705
6/07/2005,110.9444
7/07/2005,110.9691
8/07/2005,110.9937
11/07/2005,111.7684
12/07/2005,111.793
13/07/2005,111.867
14/07/2005,111.8916
15/07/2005,112.6663
18/07/2005,112.4409
19/07/2005,112.4656
20/07/2005,112.5396
21/07/2005,112.8142
22/07/2005,113.3389
25/07/2005,113.3635
26/07/2005,113.3882
27/07/2005,109
28/07/2005,109.0246
29/07/2005,109.0493
1/08/2005,109.0739
2/08/2005,109.0986
3/08/2005,109.1725
4/08/2005,109.1972
5/08/2005,109.2218
8/08/2005,109.2465
9/08/2005,109.2712
10/08/2005,109.3451
11/08/2005,109.1198
12/08/2005,109.3944
15/08/2005,109.4191
16/08/2005,109.4437
17/08/2005,109.0177
18/08/2005,109.5423
19/08/2005,109.567
22/08/2005,109.5916
23/08/2005,109.6163
24/08/2005,109.6903
25/08/2005,109.7149
26/08/2005,109.7149
29/08/2005,109.7396
30/08/2005,109.7642
31/08/2005,109.8382
1/09/2005,109.3628
2/09/2005,109.3875
5/09/2005,109.4121
6/09/2005,109.4368
7/09/2005,109.5107
8/09/2005,109.5354
9/09/2005,109.56
12/09/2005,109.5847
13/09/2005,109.6094
14/09/2005,109.6833
15/09/2005,109.708
16/09/2005,109.7326
19/09/2005,109.5073
20/09/2005,109.5319
21/09/2005,108.8559
22/09/2005,108.3805
23/09/2005,108.4052
26/09/2005,108.4298
27/09/2005,107.9545
28/09/2005,108.5284
29/09/2005,108.5531
30/09/2005,108.0778
3/10/2005,108.1024
4/10/2005,108.1271
5/10/2005,108.201
6/10/2005,108.2257
7/10/2005,107.5003
10/10/2005,107.525
11/10/2005,107.2997
12/10/2005,106.8736
13/10/2005,106.8982
14/10/2005,106.9229
17/10/2005,107.4475
18/10/2005,107.4722
19/10/2005,108.0462
20/10/2005,108.0708
21/10/2005,108.0955
24/10/2005,108.3701
25/10/2005,108.1448
26/10/2005,107.6941
27/10/2005,107.4688
28/10/2005,107.4934
31/10/2005,107.518
1/11/2005,106.7927
2/11/2005,106.8666
3/11/2005,106.8913
4/11/2005,106.916
7/11/2005,106.9406
8/11/2005,106.9653
9/11/2005,106.7892
10/11/2005,106.8139
11/11/2005,106.5885
14/11/2005,106.6132
15/11/2005,106.6378
16/11/2005,106.7118
17/11/2005,106.7364
18/11/2005,106.7611
21/11/2005,106.2857
22/11/2005,106.3104
23/11/2005,106.6344
24/11/2005,106.659
25/11/2005,106.6837
28/11/2005,106.7083
29/11/2005,106.733
30/11/2005,106.8069
1/12/2005,107.0816
2/12/2005,107.1062
5/12/2005,107.6309
6/12/2005,107.6555
7/12/2005,107.7295
8/12/2005,108.0042
9/12/2005,108.5288
12/12/2005,108.3035
13/12/2005,108.3281
14/12/2005,108.4021
15/12/2005,108.4267
16/12/2005,108.4514
19/12/2005,108.476
20/12/2005,108.5007
21/12/2005,108.5746
22/12/2005,108.5993
23/12/2005,108.6239
26/12/2005,108.6486
27/12/2005,108.6733
28/12/2005,109.7225
29/12/2005,109.2472
30/12/2005,109.2719
2/01/2006,109.2965
3/01/2006,109.5712
4/01/2006,109.6451
5/01/2006,110.4198
6/01/2006,109.9444
9/01/2006,109.9691
10/01/2006,109.9937
11/01/2006,110.0677
12/01/2006,109.8423
13/01/2006,109.867
16/01/2006,109.8916
17/01/2006,109.6663
18/01/2006,109.7402
19/01/2006,109.7649
20/01/2006,109.7896
23/01/2006,109.8142
24/01/2006,109.8389
25/01/2006,109.7878
26/01/2006,109.7878
27/01/2006,105.5
30/01/2006,105.0246
31/01/2006,105.0493
1/02/2006,105.1232
2/02/2006,105.1479
3/02/2006,105.1725
6/02/2006,104.9472
7/02/2006,104.9718
8/02/2006,104.9208
9/02/2006,104.9455
10/02/2006,105.3451
13/02/2006,105.3698
14/02/2006,105.3944
15/02/2006,105.4684
16/02/2006,105.493
17/02/2006,105.5177
20/02/2006,105.5423
21/02/2006,105.567
22/02/2006,105.6409
23/02/2006,105.6656
24/02/2006,105.7396
27/02/2006,105.7642
28/02/2006,105.7889
1/03/2006,105.8628
2/03/2006,105.8875
3/03/2006,105.9121
6/03/2006,105.9368
7/03/2006,105.7114
8/03/2006,105.0354
9/03/2006,105.06
10/03/2006,105.0847
13/03/2006,105.1094
14/03/2006,105.134
15/03/2006,105.208
16/03/2006,105.3576
17/03/2006,105.3823
20/03/2006,105.5319
21/03/2006,105.5566
22/03/2006,105.6305
23/03/2006,105.6552
24/03/2006,105.6798
27/03/2006,105.7045
28/03/2006,105.7045
29/03/2006,105.7784
30/03/2006,105.5531
31/03/2006,105.5778
3/04/2006,105.6024
4/04/2006,105.6271
5/04/2006,106.201
6/04/2006,106.2257
7/04/2006,106.2503
10/04/2006,106.275
11/04/2006,106.2997
12/04/2006,106.3736
13/04/2006,106.3982
14/04/2006,106.4229
17/04/2006,106.0725
18/04/2006,106.0972
19/04/2006,106.0462
20/04/2006,106.0708
21/04/2006,106.0955
24/04/2006,106.1201
25/04/2006,106.1448
26/04/2006,106.2188
27/04/2006,106.2434
28/04/2006,106.268
