Name,ANIXTER INCO. 2005 5.95% 01/03/15 S - DEFAULT PRICE
Code,48998L(GP)
12/01/2006,90.8664
13/01/2006,91.6144
16/01/2006,91.6144
17/01/2006,91.8541
18/01/2006,91.8036
19/01/2006,91.5681
20/01/2006,91.6825
23/01/2006,91.6969
24/01/2006,91.5056
25/01/2006,90.96
26/01/2006,90.1272
27/01/2006,91.7443
30/01/2006,91.5
31/01/2006,91.5241
1/02/2006,91.75
2/02/2006,91.7688
3/02/2006,91.9455
6/02/2006,91.8851
7/02/2006,91.7375
8/02/2006,91.3217
9/02/2006,91.4166
10/02/2006,91.1715
13/02/2006,91.7124
14/02/2006,91.5159
15/02/2006,91.5925
16/02/2006,92.3295
17/02/2006,92.6764
20/02/2006,92.6764
21/02/2006,92.5402
22/02/2006,92.7468
23/02/2006,92.5228
24/02/2006,92.5161
27/02/2006,92.3861
28/02/2006,92.6567
1/03/2006,92.398
2/03/2006,92.7311
3/03/2006,92.9333
6/03/2006,92.596
7/03/2006,92.6099
8/03/2006,92.6266
9/03/2006,92.653
10/03/2006,92.4858
13/03/2006,92.3688
14/03/2006,92.87
15/03/2006,92.6552
16/03/2006,93.2019
17/03/2006,93.0148
20/03/2006,93.1291
21/03/2006,92.1385
22/03/2006,92.5904
23/03/2006,92.3804
24/03/2006,92.8929
27/03/2006,92.6072
28/03/2006,92.7396
29/03/2006,92.5681
30/03/2006,92.4577
31/03/2006,92.7952
3/04/2006,92.3367
4/04/2006,92.3507
5/04/2006,92.6967
6/04/2006,92.3631
7/04/2006,91.9325
10/04/2006,91.9342
11/04/2006,92.1317
12/04/2006,91.9855
13/04/2006,91.6191
14/04/2006,91.6191
17/04/2006,92.6621
18/04/2006,92.4221
19/04/2006,91.9219
20/04/2006,92.9056
21/04/2006,92.75
24/04/2006,92.9273
25/04/2006,92.5
26/04/2006,92.321
27/04/2006,92.375
28/04/2006,92.4845
1/05/2006,93.125
2/05/2006,92.75
3/05/2006,92.5728
4/05/2006,92.5498
5/05/2006,92.7984
8/05/2006,92.7444
9/05/2006,92.6966
10/05/2006,92.7137
11/05/2006,92.25
12/05/2006,92
15/05/2006,92.25
16/05/2006,92.25
17/05/2006,92.25
18/05/2006,92.25
19/05/2006,92.25
22/05/2006,92.25
23/05/2006,92.25
