Name,PUBLIC SER.ENTER.GP.2004 5% 15/08/14 S - GROSS PRICE
Code,466164(GP)
8/07/2005,103.4442
11/07/2005,103.5167
12/07/2005,103.2439
13/07/2005,103.1168
14/07/2005,103.0137
15/07/2005,103.0712
18/07/2005,102.7281
19/07/2005,103.1864
20/07/2005,103.4177
21/07/2005,102.638
22/07/2005,103.0149
25/07/2005,102.8689
26/07/2005,102.9263
27/07/2005,102.8017
28/07/2005,103.295
29/07/2005,102.6631
1/08/2005,102.4174
2/08/2005,102.3163
3/08/2005,102.6176
4/08/2005,102.5019
5/08/2005,101.9853
8/08/2005,101.7997
9/08/2005,101.9994
10/08/2005,99.5562
11/08/2005,99.9779
12/08/2005,100.5166
15/08/2005,100.4509
16/08/2005,100.7894
17/08/2005,100.491
18/08/2005,100.9376
19/08/2005,100.9946
22/08/2005,100.9936
23/08/2005,101.188
24/08/2005,101.2865
25/08/2005,101.4378
26/08/2005,101.2272
29/08/2005,101.357
30/08/2005,101.9593
31/08/2005,102.5397
1/09/2005,102.5529
2/09/2005,102.4722
5/09/2005,102.4861
6/09/2005,102.089
7/09/2005,101.7513
8/09/2005,101.7575
9/09/2005,101.8651
12/09/2005,101.5601
13/09/2005,101.834
14/09/2005,101.643
15/09/2005,101.318
16/09/2005,100.9874
19/09/2005,101.1013
20/09/2005,101.1292
21/09/2005,101.5863
22/09/2005,101.6646
23/09/2005,101.176
26/09/2005,100.8685
27/09/2005,100.449
28/09/2005,100.7955
29/09/2005,100.6035
30/09/2005,100.3486
3/10/2005,99.9611
4/10/2005,100.0454
5/10/2005,100.1929
6/10/2005,100.1646
7/10/2005,100.2067
10/10/2005,100.2206
11/10/2005,100.0732
12/10/2005,99.7099
13/10/2005,99.5013
14/10/2005,99.4113
17/10/2005,99.4324
18/10/2005,99.516
19/10/2005,99.6697
20/10/2005,99.7047
21/10/2005,100.2065
24/10/2005,99.8234
25/10/2005,99.4146
26/10/2005,98.872
27/10/2005,99.1126
28/10/2005,99.0513
31/10/2005,99.1344
1/11/2005,99.0114
2/11/2005,98.8423
3/11/2005,98.6245
4/11/2005,98.5368
7/11/2005,98.6876
8/11/2005,99.2096
9/11/2005,98.7735
10/11/2005,99.2799
11/11/2005,99.2938
14/11/2005,99.0141
15/11/2005,99.3773
16/11/2005,99.9081
17/11/2005,100.0948
18/11/2005,99.7991
21/11/2005,100.1097
22/11/2005,100.3524
23/11/2005,100.0702
24/11/2005,100.0841
25/11/2005,100.4016
28/11/2005,100.5886
29/11/2005,100.0788
30/11/2005,100.0118
1/12/2005,99.8686
2/12/2005,99.8967
5/12/2005,99.597
6/12/2005,99.4141
7/12/2005,99.085
8/12/2005,99.4721
9/12/2005,98.9791
12/12/2005,98.9196
13/12/2005,99.0286
14/12/2005,99.6405
15/12/2005,99.5397
16/12/2005,99.6966
19/12/2005,99.7518
20/12/2005,99.6035
21/12/2005,99.5126
22/12/2005,99.8722
23/12/2005,100.2603
26/12/2005,100.2742
27/12/2005,100.5545
28/12/2005,100.3315
29/12/2005,100.3594
30/12/2005,100.2379
2/01/2006,100.2518
3/01/2006,100.4293
4/01/2006,100.5812
5/01/2006,100.582
6/01/2006,100.4604
9/01/2006,100.468
10/01/2006,100.1507
11/01/2006,100.188
12/01/2006,100.5339
13/01/2006,100.9558
16/01/2006,100.9697
17/01/2006,101.1066
18/01/2006,101.0881
19/01/2006,100.8443
20/01/2006,100.9808
23/01/2006,101.0088
24/01/2006,100.813
25/01/2006,100.2562
26/01/2006,99.9486
27/01/2006,100.1098
30/01/2006,99.9103
31/01/2006,99.965
1/02/2006,99.7823
2/02/2006,99.8104
3/02/2006,100.0116
6/02/2006,99.9596
7/02/2006,99.8146
8/02/2006,99.6729
9/02/2006,99.7872
10/02/2006,97.0371
13/02/2006,97.0317
14/02/2006,96.8349
15/02/2006,96.9516
16/02/2006,97.0189
