Name,DEAN FOODS CO. 2006 7% 01/06/16 S - GROSS PRICE
Code,66291F(GP)
2/04/2007,102.7861
3/04/2007,102.5555
4/04/2007,101.9889
5/04/2007,102.5083
6/04/2007,102.5278
9/04/2007,102.5472
10/04/2007,102.5667
11/04/2007,102.875
12/04/2007,102.8944
13/04/2007,102.9139
16/04/2007,102.9333
17/04/2007,103.0778
18/04/2007,103.2611
19/04/2007,103.2805
20/04/2007,103.55
23/04/2007,103.8194
24/04/2007,103.8389
25/04/2007,104.1472
26/04/2007,104.1666
27/04/2007,104.1861
30/04/2007,104.2055
1/05/2007,103.975
2/05/2007,104.0333
3/05/2007,103.6777
4/05/2007,103.6972
7/05/2007,104.0916
8/05/2007,104.1111
9/05/2007,104.2324
10/05/2007,104.1889
11/05/2007,104.0833
14/05/2007,103.9778
15/05/2007,103.9972
16/05/2007,104.3055
17/05/2007,104.075
18/05/2007,104.0944
21/05/2007,103.8639
22/05/2007,103.8833
23/05/2007,103.9417
24/05/2007,103.8361
25/05/2007,103.4805
28/05/2007,103.4805
29/05/2007,100
30/05/2007,99.9333
31/05/2007,99.8278
1/06/2007,100.2222
4/06/2007,99.7416
5/06/2007,99.8861
6/06/2007,99.9444
7/06/2007,98.9639
8/06/2007,98.7333
11/06/2007,99.0028
12/06/2007,97.7722
13/06/2007,97.8305
14/06/2007,97.35
15/06/2007,97.3694
18/06/2007,97.6389
19/06/2007,97.6583
20/06/2007,97.4666
21/06/2007,96.7361
22/06/2007,96.5055
25/06/2007,97.025
26/06/2007,96.7944
27/06/2007,96.6028
28/06/2007,96.6222
29/06/2007,96.1416
2/07/2007,96.1611
3/07/2007,96.1805
4/07/2007,96.2389
5/07/2007,96.2583
6/07/2007,95.7778
9/07/2007,96.0472
10/07/2007,95.5667
11/07/2007,95.375
12/07/2007,95.8944
13/07/2007,95.9139
16/07/2007,96.1833
17/07/2007,96.2028
18/07/2007,95.7611
19/07/2007,95.7805
20/07/2007,95.55
23/07/2007,94.5694
24/07/2007,93.0889
25/07/2007,93.3972
26/07/2007,91.6472
27/07/2007,91.1666
30/07/2007,90.1861
31/07/2007,93.2055
1/08/2007,93.2639
2/08/2007,93.0333
3/08/2007,92.8027
6/08/2007,92.3222
7/08/2007,92.3416
8/08/2007,93.4
9/08/2007,93.6694
10/08/2007,93.4389
13/08/2007,93.9583
14/08/2007,93.9778
15/08/2007,93.5361
16/08/2007,92.5555
17/08/2007,92.575
20/08/2007,93.5944
21/08/2007,93.1139
22/08/2007,94.6722
23/08/2007,94.6917
24/08/2007,93.7111
27/08/2007,93.7305
28/08/2007,93.7305
29/08/2007,93.7889
30/08/2007,93.8083
31/08/2007,93.8278
3/09/2007,93.8472
4/09/2007,93.8666
5/09/2007,94.925
6/09/2007,94.4444
7/09/2007,94.7139
10/09/2007,94.7333
11/09/2007,94.7528
12/09/2007,94.8111
13/09/2007,94.8305
14/09/2007,94.85
17/09/2007,94.6194
18/09/2007,95.6389
19/09/2007,97.6972
20/09/2007,97.2166
21/09/2007,97.7361
24/09/2007,97.7555
25/09/2007,97.775
26/09/2007,97.3333
27/09/2007,97.3528
28/09/2007,97.3722
1/10/2007,97.3916
2/10/2007,95.9111
3/10/2007,96.7194
4/10/2007,97.4889
5/10/2007,97.5083
8/10/2007,97.5278
9/10/2007,97.2972
10/10/2007,97.3555
11/10/2007,96.625
12/10/2007,96.6444
15/10/2007,96.1639
16/10/2007,95.9333
17/10/2007,95.9916
18/10/2007,96.0111
19/10/2007,96.0305
22/10/2007,95.05
23/10/2007,95.5694
24/10/2007,95.6278
25/10/2007,95.6472
26/10/2007,95.6472
29/10/2007,95.6666
30/10/2007,96.1861
31/10/2007,96.4944
1/11/2007,95.7639
2/11/2007,95.7833
5/11/2007,95.8027
6/11/2007,95.5722
7/11/2007,95.3805
8/11/2007,94.65
9/11/2007,94.6694
12/11/2007,94.6889
13/11/2007,94.2083
14/11/2007,94.5166
15/11/2007,92.7861
16/11/2007,92.8055
19/11/2007,92.825
20/11/2007,92.3444
21/11/2007,92.4028
22/11/2007,92.4222
23/11/2007,92.4417
26/11/2007,93.2111
27/11/2007,91.9805
28/11/2007,89.0389
29/11/2007,88.5583
30/11/2007,88.5778
3/12/2007,88.5972
4/12/2007,88.1166
5/12/2007,88.425
6/12/2007,88.1944
7/12/2007,88.4639
10/12/2007,88.7333
11/12/2007,89.5028
12/12/2007,88.8111
13/12/2007,88.8305
14/12/2007,89.85
17/12/2007,88.8694
