Name,BALDOR ELEC.CO. 2007 8 5/8% 15/02/17 S - GROSS PRICE
Code,84902Q(GP)
14/12/2007,105.9708
17/12/2007,105.9948
18/12/2007,105.5187
19/12/2007,105.8406
20/12/2007,105.8646
21/12/2007,105.8885
24/12/2007,106.1625
25/12/2007,106.1864
26/12/2007,106.2344
27/12/2007,106.2583
28/12/2007,106.2823
31/12/2007,106.3062
1/01/2008,106.3302
2/01/2008,105.6521
3/01/2008,106.176
4/01/2008,104.95
7/01/2008,104.9739
8/01/2008,104.9979
9/01/2008,103.0698
10/01/2008,103.5937
11/01/2008,104.1177
14/01/2008,103.8916
15/01/2008,103.1656
16/01/2008,102.4875
17/01/2008,101.2614
18/01/2008,100.7854
21/01/2008,100.8094
22/01/2008,100.3333
23/01/2008,99.4052
24/01/2008,99.9291
25/01/2008,101.4531
28/01/2008,100.9531
29/01/2008,101.4771
30/01/2008,101.5489
31/01/2008,101.0729
1/02/2008,102.0968
4/02/2008,102.1208
5/02/2008,100.8948
6/02/2008,100.9666
7/02/2008,100.7406
8/02/2008,100.5146
11/02/2008,99.7885
12/02/2008,95.75
13/02/2008,96.3219
14/02/2008,96.3458
15/02/2008,96.6198
18/02/2008,96.6437
19/02/2008,96.6677
20/02/2008,96.4896
21/02/2008,97.2635
22/02/2008,97.2875
25/02/2008,98.0614
26/02/2008,98.8354
27/02/2008,98.6812
28/02/2008,98.7052
29/02/2008,98.4791
3/03/2008,99.2531
4/03/2008,98.2771
5/03/2008,98.5989
6/03/2008,98.6229
7/03/2008,98.1469
10/03/2008,98.6708
11/03/2008,98.1948
12/03/2008,98.5166
13/03/2008,98.2906
14/03/2008,98.0646
17/03/2008,97.8385
18/03/2008,98.6125
19/03/2008,98.6844
20/03/2008,98.9583
21/03/2008,98.9823
24/03/2008,99.0062
25/03/2008,99.7802
26/03/2008,99.5781
27/03/2008,100.1021
28/03/2008,100.126
31/03/2008,100.15
1/04/2008,100.4239
2/04/2008,100.7458
3/04/2008,101.0198
4/04/2008,101.5437
7/04/2008,101.8177
8/04/2008,102.0916
9/04/2008,102.4135
10/04/2008,102.6875
11/04/2008,101.9614
14/04/2008,101.7354
15/04/2008,102.0094
16/04/2008,102.0812
17/04/2008,102.3552
18/04/2008,102.6292
21/04/2008,102.4031
22/04/2008,102.4271
23/04/2008,102.7489
24/04/2008,102.7729
25/04/2008,103.0468
28/04/2008,102.8208
29/04/2008,103.3448
30/04/2008,103.9166
1/05/2008,104.1906
2/05/2008,104.8396
5/05/2008,104.7385
6/05/2008,105.0125
7/05/2008,104.8344
8/05/2008,104.8583
9/05/2008,104.8823
12/05/2008,104.9063
13/05/2008,104.9302
14/05/2008,105.0021
15/05/2008,105.026
16/05/2008,104.8
19/05/2008,105.3239
20/05/2008,105.3479
21/05/2008,105.4198
22/05/2008,105.4437
23/05/2008,105.4677
26/05/2008,105.4916
27/05/2008,105.0156
28/05/2008,105.3135
29/05/2008,105.0875
30/05/2008,104.6114
2/06/2008,105.1354
3/06/2008,105.1593
4/06/2008,105.2312
5/06/2008,105.2552
6/06/2008,105.2791
9/06/2008,105.3031
10/06/2008,105.3271
11/06/2008,105.5239
12/06/2008,104.9229
13/06/2008,105.6969
16/06/2008,104.9708
17/06/2008,104.9948
18/06/2008,104.8167
19/06/2008,105.3406
20/06/2008,105.3646
23/06/2008,105.1385
24/06/2008,104.6625
25/06/2008,104.9844
26/06/2008,104.0083
27/06/2008,103.7823
30/06/2008,103.8062
1/07/2008,103.5802
2/07/2008,103.1521
3/07/2008,102.926
4/07/2008,102.95
7/07/2008,102.7239
8/07/2008,102.9979
9/07/2008,102.8198
10/07/2008,102.8437
11/07/2008,102.8677
14/07/2008,102.6416
15/07/2008,102.4156
16/07/2008,102.4875
17/07/2008,102.7614
18/07/2008,103.2854
21/07/2008,103.5594
22/07/2008,103.8333
