Name,SK TELECOM CO.LTD. 2004 4 1/4% 01/04/11 S - GROSS PRICE
Code,39405M(GP)
10/02/2005,99.5699
11/02/2005,99.3688
14/02/2005,99.4545
15/02/2005,99.1761
16/02/2005,98.8694
17/02/2005,98.8051
18/02/2005,98.4071
21/02/2005,98.4189
22/02/2005,98.3245
23/02/2005,98.4306
24/02/2005,98.3528
25/02/2005,98.4476
28/02/2005,98.0385
1/03/2005,97.9808
2/03/2005,98.021
3/03/2005,97.9536
4/03/2005,98.2708
7/03/2005,98.3197
8/03/2005,98.2114
9/03/2005,97.6116
10/03/2005,97.8563
11/03/2005,97.4435
14/03/2005,97.5622
15/03/2005,97.4608
16/03/2005,98.2795
17/03/2005,98.52
18/03/2005,98.1705
21/03/2005,98.1488
22/03/2005,97.6566
23/03/2005,97.272
24/03/2005,97.3108
25/03/2005,97.3226
28/03/2005,97.1563
29/03/2005,94.7273
30/03/2005,95.0642
31/03/2005,95.3795
1/04/2005,95.646
4/04/2005,95.6942
5/04/2005,95.638
6/04/2005,95.8967
7/04/2005,95.7513
8/04/2005,95.7994
11/04/2005,95.9864
12/04/2005,96.398
13/04/2005,96.4875
14/04/2005,96.7003
15/04/2005,97.0938
18/04/2005,97.1871
19/04/2005,97.4614
20/04/2005,97.3341
21/04/2005,96.7322
22/04/2005,97.1395
25/04/2005,97.0625
26/04/2005,97.0007
27/04/2005,97.2044
28/04/2005,97.5926
29/04/2005,97.3553
2/05/2005,97.4431
3/05/2005,97.3113
4/05/2005,97.5847
5/05/2005,97.8576
6/05/2005,97.1575
9/05/2005,97.0219
10/05/2005,97.3574
11/05/2005,97.471
12/05/2005,97.6281
13/05/2005,97.8701
16/05/2005,97.8232
17/05/2005,97.8759
18/05/2005,98.1237
19/05/2005,97.8031
20/05/2005,97.6424
23/05/2005,97.8984
24/05/2005,98.1151
25/05/2005,98.0601
26/05/2005,97.9659
27/05/2005,98.0135
30/05/2005,98.0253
31/05/2005,98.341
1/06/2005,98.9624
2/06/2005,98.9399
3/06/2005,98.519
6/06/2005,98.651
7/06/2005,98.8529
8/06/2005,98.7117
9/06/2005,98.5408
10/06/2005,98.1632
13/06/2005,98.0678
14/06/2005,97.9578
15/06/2005,98.1343
16/06/2005,98.3046
17/06/2005,98.2732
20/06/2005,98.3058
21/06/2005,98.5302
22/06/2005,99.1563
23/06/2005,99.0551
24/06/2005,99.3202
27/06/2005,99.0112
28/06/2005,98.9055
29/06/2005,98.8363
30/06/2005,99.0803
1/07/2005,98.602
4/07/2005,98.6138
5/07/2005,98.3141
6/07/2005,98.3531
7/07/2005,98.727
8/07/2005,98.3451
11/07/2005,98.3824
12/07/2005,98.1771
13/07/2005,98.1004
14/07/2005,98.0314
15/07/2005,98.1171
18/07/2005,97.947
19/07/2005,98.1144
20/07/2005,98.3373
21/07/2005,97.874
22/07/2005,98.1178
25/07/2005,97.915
26/07/2005,97.9187
27/07/2005,97.8544
28/07/2005,98.1504
29/07/2005,97.4569
1/08/2005,97.6418
2/08/2005,97.6267
3/08/2005,97.8384
4/08/2005,97.6949
5/08/2005,97.3056
8/08/2005,96.9185
9/08/2005,97.0123
10/08/2005,97.0725
11/08/2005,97.6095
12/08/2005,97.9972
15/08/2005,97.968
16/08/2005,97.9577
17/08/2005,97.7571
18/08/2005,98.1347
19/08/2005,98.1529
