Name,W & T OFFSHORE INC 2007 8 1/4% 15/06/14 144A S - GROSS PRICE
Code,97716L(GP)
23/06/2008,97.0479
24/06/2008,96.5708
25/06/2008,96.8896
26/06/2008,96.4125
27/06/2008,96.9354
30/06/2008,96.9583
1/07/2008,95.4812
2/07/2008,96.55
3/07/2008,96.5729
4/07/2008,96.5958
7/07/2008,96.6187
8/07/2008,96.3916
9/07/2008,96.7104
10/07/2008,96.7333
11/07/2008,97.5062
14/07/2008,96.7791
15/07/2008,96.3021
16/07/2008,96.3708
17/07/2008,96.8937
18/07/2008,96.4166
21/07/2008,96.1896
22/07/2008,95.9625
23/07/2008,96.0313
24/07/2008,96.0541
25/07/2008,96.0771
28/07/2008,96.0771
29/07/2008,95.85
30/07/2008,95.1687
31/07/2008,95.1917
1/08/2008,95.2146
4/08/2008,95.2375
5/08/2008,94.0104
6/08/2008,93.5791
7/08/2008,93.8521
8/08/2008,93.875
11/08/2008,93.8979
12/08/2008,93.9208
13/08/2008,93.9896
14/08/2008,94.0125
15/08/2008,94.0354
18/08/2008,93.5583
19/08/2008,92.5812
20/08/2008,92.65
21/08/2008,92.6729
22/08/2008,92.6958
25/08/2008,92.7187
26/08/2008,92.7416
27/08/2008,92.7875
28/08/2008,91.8104
29/08/2008,91.8333
1/09/2008,91.8562
2/09/2008,91.8792
3/09/2008,91.9479
4/09/2008,91.4708
5/09/2008,90.9937
8/09/2008,91.2666
9/09/2008,91.2896
10/09/2008,91.1083
11/09/2008,90.6312
12/09/2008,92.6541
