Name,HORIZON LINES LLC 2004 9% 01/11/12 144A S - GROSS PRICE
Code,46200V(GP)
16/06/2005,107.25
17/06/2005,106.775
20/06/2005,106.8
21/06/2005,106.95
22/06/2005,106.65
23/06/2005,106.675
24/06/2005,106.7
27/06/2005,105.475
28/06/2005,105.5
29/06/2005,105.575
30/06/2005,106.35
1/07/2005,106.375
4/07/2005,106.4
5/07/2005,106.175
6/07/2005,106.25
7/07/2005,106.275
8/07/2005,107.3
11/07/2005,107.325
12/07/2005,107.85
13/07/2005,108.675
14/07/2005,108.7
15/07/2005,108.725
18/07/2005,108.75
19/07/2005,108.525
20/07/2005,108.6
21/07/2005,108.625
22/07/2005,108.65
25/07/2005,108.675
26/07/2005,109.45
27/07/2005,109.5
28/07/2005,109.525
29/07/2005,109.55
1/08/2005,109.575
2/08/2005,109.85
3/08/2005,110.425
4/08/2005,110.45
5/08/2005,110.475
8/08/2005,110.5
9/08/2005,110.65
10/08/2005,110.725
11/08/2005,110.75
12/08/2005,110.775
15/08/2005,110.925
16/08/2005,110.95
17/08/2005,111.025
18/08/2005,111.175
19/08/2005,111.2
22/08/2005,111.225
23/08/2005,111.125
24/08/2005,111.2
25/08/2005,111.225
26/08/2005,111.225
29/08/2005,111.25
30/08/2005,111.4
31/08/2005,111.475
1/09/2005,111.5
2/09/2005,111.525
5/09/2005,111.55
6/09/2005,111.575
7/09/2005,111.275
8/09/2005,111.3
9/09/2005,111.325
12/09/2005,111.35
13/09/2005,111.375
14/09/2005,111.45
15/09/2005,111.475
16/09/2005,111.5
19/09/2005,111.525
20/09/2005,111.55
21/09/2005,111.625
22/09/2005,111.65
23/09/2005,111.675
26/09/2005,111.7
27/09/2005,111.725
28/09/2005,111.8
29/09/2005,111.825
30/09/2005,111.85
3/10/2005,111.875
4/10/2005,111.9
5/10/2005,111.975
6/10/2005,112
7/10/2005,112.025
10/10/2005,112.05
11/10/2005,112.075
12/10/2005,112.15
13/10/2005,112.175
14/10/2005,112.2
17/10/2005,112.225
18/10/2005,112.25
19/10/2005,112.325
20/10/2005,112.35
21/10/2005,112.375
24/10/2005,112.4
25/10/2005,112.425
26/10/2005,112.475
27/10/2005,108
28/10/2005,108.025
31/10/2005,108.05
1/11/2005,108.075
2/11/2005,108.15
3/11/2005,108.175
4/11/2005,108.2
7/11/2005,108.225
8/11/2005,108.25
9/11/2005,108.325
10/11/2005,108.35
11/11/2005,108.375
14/11/2005,108.4
15/11/2005,108.425
16/11/2005,108.5
17/11/2005,108.525
18/11/2005,108.55
21/11/2005,108.575
22/11/2005,108.6
23/11/2005,108.675
24/11/2005,108.7
25/11/2005,108.725
28/11/2005,108.75
29/11/2005,108.775
30/11/2005,108.85
1/12/2005,108.875
2/12/2005,108.9
5/12/2005,108.925
6/12/2005,108.95
7/12/2005,109.025
8/12/2005,109.05
9/12/2005,109.075
12/12/2005,109.1
13/12/2005,109.125
14/12/2005,109.2
15/12/2005,109.225
16/12/2005,109.25
19/12/2005,109.275
20/12/2005,109.3
21/12/2005,109.375
22/12/2005,109.4
23/12/2005,109.425
26/12/2005,109.45
27/12/2005,109.475
28/12/2005,109.525
29/12/2005,109.55
30/12/2005,109.575
2/01/2006,109.6
3/01/2006,109.625
4/01/2006,109.7
5/01/2006,109.725
6/01/2006,109.75
9/01/2006,109.775
10/01/2006,109.8
11/01/2006,109.875
12/01/2006,109.9
13/01/2006,109.925
16/01/2006,109.95
17/01/2006,109.975
18/01/2006,110.05
19/01/2006,110.075
20/01/2006,110.1
23/01/2006,110.125
24/01/2006,110.15
25/01/2006,110.225
26/01/2006,110.225
27/01/2006,110.25
30/01/2006,110.275
31/01/2006,110.3
1/02/2006,110.375
2/02/2006,110.4
3/02/2006,110.425
6/02/2006,110.45
7/02/2006,110.475
8/02/2006,110.55
9/02/2006,110.575
10/02/2006,110.6
13/02/2006,110.625
14/02/2006,110.65
15/02/2006,110.725
16/02/2006,110.75
17/02/2006,110.775
20/02/2006,110.8
21/02/2006,110.825
22/02/2006,110.9
23/02/2006,110.925
24/02/2006,111
27/02/2006,111.025
28/02/2006,111.05
1/03/2006,111.125
2/03/2006,111.15
3/03/2006,111.175
6/03/2006,111.2
7/03/2006,111.225
8/03/2006,111.3
9/03/2006,111.325
10/03/2006,111.35
13/03/2006,111.375
14/03/2006,111.4
15/03/2006,111.475
16/03/2006,111.5
17/03/2006,111.525
20/03/2006,111.55
21/03/2006,111.575
22/03/2006,111.65
23/03/2006,111.675
24/03/2006,111.7
27/03/2006,111.725
28/03/2006,111.725
29/03/2006,111.8
30/03/2006,111.825
31/03/2006,111.85
3/04/2006,111.875
4/04/2006,111.9
5/04/2006,111.975
6/04/2006,112
7/04/2006,112.025
10/04/2006,112.05
11/04/2006,112.075
12/04/2006,112.15
13/04/2006,112.175
14/04/2006,112.2
17/04/2006,112.225
18/04/2006,112.25
